F900	CJK COMPATIBILITY IDEOGRAPH-F900
	: 8C48
F901	CJK COMPATIBILITY IDEOGRAPH-F901
	: 66F4
F902	CJK COMPATIBILITY IDEOGRAPH-F902
	: 8ECA
F903	CJK COMPATIBILITY IDEOGRAPH-F903
	: 8CC8
F904	CJK COMPATIBILITY IDEOGRAPH-F904
	: 6ED1
F905	CJK COMPATIBILITY IDEOGRAPH-F905
	: 4E32
F906	CJK COMPATIBILITY IDEOGRAPH-F906
	: 53E5
F907	CJK COMPATIBILITY IDEOGRAPH-F907
	: 9F9C
F908	CJK COMPATIBILITY IDEOGRAPH-F908
	: 9F9C
F909	CJK COMPATIBILITY IDEOGRAPH-F909
	: 5951
F90A	CJK COMPATIBILITY IDEOGRAPH-F90A
	: 91D1
F90B	CJK COMPATIBILITY IDEOGRAPH-F90B
	: 5587
F90C	CJK COMPATIBILITY IDEOGRAPH-F90C
	: 5948
F90D	CJK COMPATIBILITY IDEOGRAPH-F90D
	: 61F6
F90E	CJK COMPATIBILITY IDEOGRAPH-F90E
	: 7669
F90F	CJK COMPATIBILITY IDEOGRAPH-F90F
	: 7F85
F910	CJK COMPATIBILITY IDEOGRAPH-F910
	: 863F
F911	CJK COMPATIBILITY IDEOGRAPH-F911
	: 87BA
F912	CJK COMPATIBILITY IDEOGRAPH-F912
	: 88F8
F913	CJK COMPATIBILITY IDEOGRAPH-F913
	: 908F
F914	CJK COMPATIBILITY IDEOGRAPH-F914
	: 6A02
F915	CJK COMPATIBILITY IDEOGRAPH-F915
	: 6D1B
F916	CJK COMPATIBILITY IDEOGRAPH-F916
	: 70D9
F917	CJK COMPATIBILITY IDEOGRAPH-F917
	: 73DE
F918	CJK COMPATIBILITY IDEOGRAPH-F918
	: 843D
F919	CJK COMPATIBILITY IDEOGRAPH-F919
	: 916A
F91A	CJK COMPATIBILITY IDEOGRAPH-F91A
	: 99F1
F91B	CJK COMPATIBILITY IDEOGRAPH-F91B
	: 4E82
F91C	CJK COMPATIBILITY IDEOGRAPH-F91C
	: 5375
F91D	CJK COMPATIBILITY IDEOGRAPH-F91D
	: 6B04
F91E	CJK COMPATIBILITY IDEOGRAPH-F91E
	: 721B
F91F	CJK COMPATIBILITY IDEOGRAPH-F91F
	: 862D
F920	CJK COMPATIBILITY IDEOGRAPH-F920
	: 9E1E
F921	CJK COMPATIBILITY IDEOGRAPH-F921
	: 5D50
F922	CJK COMPATIBILITY IDEOGRAPH-F922
	: 6FEB
F923	CJK COMPATIBILITY IDEOGRAPH-F923
	: 85CD
F924	CJK COMPATIBILITY IDEOGRAPH-F924
	: 8964
F925	CJK COMPATIBILITY IDEOGRAPH-F925
	: 62C9
F926	CJK COMPATIBILITY IDEOGRAPH-F926
	: 81D8
F927	CJK COMPATIBILITY IDEOGRAPH-F927
	: 881F
F928	CJK COMPATIBILITY IDEOGRAPH-F928
	: 5ECA
F929	CJK COMPATIBILITY IDEOGRAPH-F929
	: 6717
